country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,desc_len
France,"This ripe wine with its red fruits and well-balanced texture is beautifully ready to drink, with just the right crisp acidity to balance the soft richness. There is no sign yet of maturity, the fruit from this great vintage showing at its perfumed best. Drink the wine now.",Rosé Brut,94,130.0,Champagne,Champagne,0,Roger Voss,@vossroger,Pol Roger 2008 Rosé Brut  (Champagne),Champagne Blend,Pol Roger,273
US,"More than three quarters Syrah, this is made from young vines planted in the estate vineyard in the extreme western Yakima Valley. With such new vines it is difficult to point to specific varietal character. It's tart and lightly fruity, with a pleasant spicy edge.",Estate Syrah-Mourvèdre,85,29.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Wilridge 2009 Estate Syrah-Mourvèdre Syrah-Mourvèdre (Columbia Valley (WA)),Syrah-Mourvèdre,Wilridge,265
Spain,"This is a bit clipped on the nose, with notes of saline, seashell, metal, leather and earthy blackberry. The palate feels wide and a touch wayward, while leathery berry and plum flavors include a note of mushroom. Lemony oak and herbal notes rise up on the finish.",Embocadero,89,22.0,Northern Spain,Ribera del Duero,0,Michael Schachner,@wineschach,Bodega San Pedro Regalado 2011 Embocadero  (Ribera del Duero),Tempranillo,Bodega San Pedro Regalado,264
US,"Labeled a “Super Tuscan-Style Blend” this is 36% Syrah, 45% Sangiovese and 18% Cabernet Sauvignon, all from Red Mountain vineyards. It opens gracefully with pretty raspberry and cherry fruit, then grounds itself in a base of mineral and earth, enlivened with natural acidity.",Flying Colors,89,29.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Genoa 2011 Flying Colors Red (Red Mountain),Red Blend,Genoa,275
Hungary,"This dry Furmint is brilliant gold in color, with notes of Bartlett pear, Granny Smith apple, and lime zest in the complex bouquet. These aromas transfer seamlessly onto the palate as vibrant fruit flavors, with round body and bracing minerality. Delightful with food or by itself as an apéritif.",Szent Tamás Betsek Vineyards,93,25.0,Tokaji,0,0,Jeff Jenssen,@worldwineguys,Dobogó 2011 Szent Tamás Betsek Vineyards  (Tokaji),Furmint,Dobogó,296
US,"Not at all a typical Sauvignon Blanc, this smells like apricot and honeysuckle and tastes like marmalade. It is dry, yet tastes like a late-harvest dessert wine. Expect a little taste adventure here.",0,85,22.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Schmitz 24 Brix 2012 Sauvignon Blanc (Sierra Foothills),Sauvignon Blanc,Schmitz 24 Brix,199
Spain,"This wine's classic Albariño aromas of white flowers and stone fruit are simple and nice. It feels round and true but a touch flat. Thompson grape, melon and ripe apple flavors hold steady on the finish. Drink now.",0,88,14.0,Galicia,Rías Baixas,0,Michael Schachner,@wineschach,Condes de Albarei 2016 Albariño (Rías Baixas),Albariño,Condes de Albarei,214
France,"The Layon valley vineyards produce deliciously honeyed wines like this one. There is botrytis here that gives a light texture to the wine, along with apricot fruit. With this richness, there is also refreshing crisp acidity. Worth aging 4–5 years but already delicious.",Le Savetier,90,25.0,Loire Valley,Coteaux du Layon,0,Roger Voss,@vossroger,Château la Varière 2011 Le Savetier Chenin Blanc (Coteaux du Layon),Chenin Blanc,Château la Varière,269
US,"Roasted coffee bean, ember and spice aromas take the lead on this blend. The flavors display the same, showing a surprising amount of restraint for the vintage.",Abracadabra,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Brian Carter Cellars 2013 Abracadabra Red (Columbia Valley (WA)),Red Blend,Brian Carter Cellars,160
Italy,"Here's a very attractive and seductive Barolo with chiseled mineral tones that really help the wine stand out in a crowd. Layers of graphite and slate give purity, linearity and clarity to this austere and elegant expression. Earthy tones, as well as forest berry flavors, appear on the long finish.",Costa di Bussia,92,50.0,Piedmont,Barolo,0,0,0,Tenuta Arnulfo 2006 Costa di Bussia  (Barolo),Nebbiolo,Tenuta Arnulfo,299
US,"It would be a pity to open this wine anytime before, say, 2010, because it needs age. Now, and for a while, it will taste closed and tannic and raw. But such are the tannins and acids and overall balance, and the core of blackberries and cherries is so rich, that it should effortlessly negotiate the next decade.",0,92,90.0,California,Spring Mountain District,Napa,0,0,Vineyard 7&8 2005 Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Vineyard 7&8,313
Hungary,This wine is made from 100% Furmint and has an intriguing bouquet of jasmine and lemon blossom. It is crisp and acidic on the palate with pleasant flavors of lemon zest and lime juice.,0,89,25.0,Tokaj,0,0,Jeff Jenssen,@worldwineguys,Kikelet 2015 Furmint (Tokaj),Furmint,Kikelet,184
US,"This is a good wine, fancy and dry, with plenty of acidity. The citrus, peach and gooseberry flavors have an edge of new French oak. Hall bought this vineyard from Iron Horse, who used to blend some Viognier into the wine, with excellent results.",T Bar T Ranch,87,30.0,California,Alexander Valley,Sonoma,0,0,Hall 2012 T Bar T Ranch Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Hall,246
Italy,"This gorgeous Barolo has a penetrating, dark color and generous aromas of black cherry, tar, leather, tobacco, spice, black truffle and Spanish cedar. The intensity and power is impressive, and the mouthfeel is packed tight with ripe fruit flavors and a bold structure. Hold for 10–20 years to let those tannins evolve.",Le Vigne,94,154.0,Piedmont,Barolo,0,0,0,Luciano Sandrone 2007 Le Vigne  (Barolo),Nebbiolo,Luciano Sandrone,319
US,"Although the blend includes 20% Primitivo and 5% Petite Sirah, which might be expected to add some tannic muscle to the wine, this is a simple red quaffer, with light raspberry fruit and a hint of milk chocolate.",Kubli Bench,84,24.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Troon 2009 Kubli Bench Zinfandel (Applegate Valley),Zinfandel,Troon,212
US,"A chocolaty, fragrant wine —74% Merlot, 15% Cab Franc, 6% Malbec, 5% Petit Verdot—with interesting spice highlights throughout the nose and mouth. The fruit is a mix of Bing cherry and strawberry, washed in a lush barrel-induced mix of chocolate, mocha, espresso and clove. Finishes a little hot, with alcohol listed at 14.6%.",DC3,88,24.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Dynasty Cellars 2007 DC3 Meritage (Walla Walla Valley (WA)),Meritage,Dynasty Cellars,326
US,"Easton's estate Zin is big and lusty in blackberry, currant, licorice and spice flavors that are wrapped into sturdy tannins. It's a little on the superextracted, sweetly jammy side that emphasizes the fruit and pushes the wine's structural elements to the sideline. Could be an ager.",Estate Bottled,87,30.0,California,Shenandoah Valley (CA),Sierra Foothills,0,0,Easton 2005 Estate Bottled Zinfandel (Shenandoah Valley (CA)),Zinfandel,Easton,284
Portugal,"This is a spicy earthy wine with its high percentage of Alicante Bouschet giving rich tannins and a dark dense texture. The wine is packed with dense fruit and power, perhaps erring on the side of too much, with a pepper edge to the concentrated black fruit. Drink now.",Sem Barrica Unoaked,88,22.0,Alentejano,0,0,Roger Voss,@vossroger,Herdade das Servas 2015 Sem Barrica Unoaked Red (Alentejano),Portuguese Red,Herdade das Servas,269
Argentina,"Far less ripe and appealing than the 2004 version. The '05 comes out of the chute smelling malty and lactic; airing reveals strawberry milk notes, while the flavors struggle to express themselves. Sticky, oily and as if someone hit the mute button along the way. Where's the ripe, lush quality we've come to love about Argentinean Malbec?",D.O.C Single Vineyard,84,22.0,Mendoza Province,Luján de Cuyo,0,Michael Schachner,@wineschach,Luigi Bosca 2005 D.O.C Single Vineyard Malbec (Luján de Cuyo),Malbec,Luigi Bosca,338
US,"Austere on the nose, and light on the palate, this vineyard-designated expression of this Rhône variety works in its full embrace of succulent pear, peach and tart citrus. Given time in neutral oak, it has enough body to remain meaningful in the glass around dry, focused acidity.",Haug Vineyard,91,35.0,California,Rutherford,Napa,Virginie Boone,@vboone,Muddy Arch 2015 Haug Vineyard Roussanne (Rutherford),Roussanne,Muddy Arch,280
Italy,"This Amarone has forward aromas of ripe black fruit and spice. The palate delivers rich black cherry flavors layered with chocolate, black pepper and hints of espresso. It's robust, with great depth and a velvety texture.",Ca' Florian,92,0.0,Veneto,Amarone della Valpolicella Classico,0,Kerin O’Keefe,@kerinokeefe,Tommasi 2007 Ca' Florian  (Amarone della Valpolicella Classico),Red Blend,Tommasi,221
Austria,"Beautifully perfumed, with acidity, white fruits and a mineral context. The wine is layered with citrus and lime, hints of fresh pineapple acidity. Screw cap.",Steinterrassen,89,27.0,Kremstal,0,0,Roger Voss,@vossroger,Stadt Krems 2009 Steinterrassen Riesling (Kremstal),Riesling,Stadt Krems,158
US,"Whiffs of tea leaves and tobacco lend earthiness to this slightly savory but exotic appealing rosé. There's plenty of red-cherry and raspberry flavor, but it's slightly muted, embraced in shrouds of Cabernet Franc's brambly leafy character. It's a unique, full-bodied rosé to try over dinner with poultry or other white meats.",Island Sunset Cabernet Franc,88,16.0,New York,New York,New York Other,Anna Lee C. Iijima,0,Adirondack Winery 2015 Island Sunset Cabernet Franc Rosé (New York),Rosé,Adirondack Winery,326
Italy,"Surprisingly bright for the vintage and displaying Gaja's trademark elegance, this offers aromas of blue flower, perfumed berry, cake spices and a whiff of leather. The ripe palate delivers mature black cherry layered with white pepper and cinnamon alongside supple tannins. Drink 2016–2026.",Costa Russi,93,500.0,Piedmont,Langhe,0,Kerin O’Keefe,@kerinokeefe,Gaja 2011 Costa Russi Red (Langhe),Red Blend,Gaja,291
US,"Dry, smooth and classy, with rich chocolate, blackberry and cherry pie, anise and oak flavors. A bit too soft and sweet for extended aging, but will provide pleasant drinking over the next six years.",Whitestone Vineyard,88,40.0,California,Central Coast,Central Coast,0,0,Clos La Chance 2008 Whitestone Vineyard Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Clos La Chance,199
Argentina,"Fruity on the nose, with a friendly mix of pineapple, apple, melon and powdered sugar aromas. Feels smooth and round but not heavy, with good acidity and likable, simple flavors of melon, banana and apple. There's a light note of toast on the finish.",0,87,13.0,Mendoza Province,Mendoza,0,Michael Schachner,@wineschach,Alamos 2010 Chardonnay (Mendoza),Chardonnay,Alamos,250
France,"Definite juiciness here, although the wine has a light and fresh character. The acidity and tannins are there to give the berry fruit a boost.",0,86,13.0,Southwest France,Cahors,0,Roger Voss,@vossroger,Château Saint-Sernin 2007 Malbec (Cahors),Malbec,Château Saint-Sernin,142
Argentina,"Black plum, cola and chocolate define this textbook Malbec. The wine has body, heft and lots of fruit, but also some complexity and character. Flavors of black cherry, plum and cassis are layered and fairly boisterous, while the mouthfeel is firm and just slightly tannic. Just right for red meats and pastas.",Premium,89,12.0,Mendoza Province,Luján de Cuyo,0,Michael Schachner,@wineschach,Piattelli 2005 Premium Malbec (Luján de Cuyo),Malbec,Piattelli,309
Argentina,"Generous, sizable aromas of cassis, blackberry and violet are inviting. This is juicy, with slightly wiry acidity creating a racy mouthfeel. Flavors of berry and cassis are loamy on their own but ride comfortably on a wave of tartaric acidity, while the finish is lifted and lively, with black-fruit flavors.",0,91,27.0,Mendoza Province,Mendoza,0,Michael Schachner,@wineschach,Doña Silvina 2011 Malbec (Mendoza),Malbec,Doña Silvina,308
US,"In Spain, Albariño is usually a steely, bone dry, sea-inflected white wine. Here it is made in an off-dry style, with 10 g/L residual sugar. The sweetness masks any apparent varietal specificity, resulting in a pleasant, but generic white wine.",0,86,22.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Castillo De Feliciana 2012 Albariño (Columbia Valley (WA)),Albariño,Castillo De Feliciana,244
US,"Sheer on the nose and palate with flavors of lemon and lime juice accented by hints of salted nuts and brine. These flavors are savory and clean, but could use a boost of concentration and depth.",0,83,13.0,New York,New York,New York Other,Anna Lee C. Iijima,0,Brotherhood 2010 Chardonnay (New York),Chardonnay,Brotherhood,195
Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8.0,Vinho Verde,0,0,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias,164
France,"Classic Viognier apricot flavors are prominent in this ripe, full wine. It's as poised as it is rich—full of fruit, with a warm, rounded aftertaste.",0,87,10.0,France Other,Vin de France,0,Roger Voss,@vossroger,Maison de la Villette 2016 Viognier (Vin de France),Viognier,Maison de la Villette,148
Portugal,"A soft, creamy wine full of apple and pear fruits that are edged with crisp acidity. It is ripe, but still young; drink this attractive wine from 2017.",Grand'Arte,87,13.0,Lisboa,0,0,Roger Voss,@vossroger,DFJ Vinhos 2015 Grand'Arte Alvarinho (Lisboa),Alvarinho,DFJ Vinhos,151
